Date,Open,High,Low,Close,Volume,Adjusted Close
2013-07-08,76.61,76.61,76.5,76.5,500.0,70.54
2013-07-05,76.61,76.61,76.61,76.61,0.0,70.64
2013-07-04,76.61,76.61,76.61,76.61,0.0,70.64
2013-07-03,76.61,76.61,76.61,76.61,300.0,70.64
2013-07-02,76.75,76.76,76.0,76.51,1900.0,70.55
2013-06-28,76.0,76.0,76.0,76.0,300.0,70.08
2013-06-27,76.21,76.21,76.02,76.02,700.0,70.1
2013-06-26,75.2,75.2,75.2,75.2,0.0,69.34
2013-06-25,75.2,75.5,75.2,75.2,4800.0,69.34
2013-06-24,76.15,76.15,72.87,75.75,10200.0,69.85
2013-06-21,76.75,76.75,76.3,76.3,2300.0,70.36
2013-06-20,76.8,76.8,76.8,76.8,0.0,70.82
2013-06-19,77.0,77.0,76.8,76.8,7300.0,70.82
2013-06-18,76.5,76.8,76.5,76.8,3600.0,70.82
2013-06-17,76.8,76.8,76.8,76.8,7100.0,70.82
2013-06-14,76.74,76.74,76.64,76.65,9000.0,70.68
2013-06-13,76.47,76.5,76.47,76.5,8200.0,70.54
2013-06-12,76.99,76.99,76.0,76.5,6400.0,70.54
2013-06-11,75.12,76.4,75.12,76.4,300.0,70.31
2013-06-10,71.5,75.0,70.8,74.89,7900.0,68.92
2013-06-07,70.99,70.99,70.99,70.99,0.0,65.33
2013-06-06,70.99,70.99,70.99,70.99,0.0,65.33
2013-06-05,70.75,70.99,70.75,70.99,300.0,65.33
2013-06-04,71.25,71.25,71.25,71.25,400.0,65.57
2013-06-03,71.26,71.26,71.26,71.26,100.0,65.58
2013-05-31,71.5,71.5,71.5,71.5,600.0,65.8
2013-05-30,71.5,71.5,71.5,71.5,0.0,65.8
2013-05-29,71.5,71.5,71.5,71.5,0.0,65.8
2013-05-28,71.5,71.5,71.5,71.5,1300.0,65.8
2013-05-27,71.89,71.89,71.89,71.89,0.0,66.16
2013-05-24,71.13,71.89,71.1,71.89,1000.0,66.16
2013-05-23,71.42,71.6,71.41,71.41,1500.0,65.72
2013-05-22,71.11,71.99,71.11,71.99,500.0,66.25
2013-05-21,71.15,71.5,71.15,71.5,700.0,65.8
2013-05-17,70.65,70.65,70.65,70.65,200.0,65.02
2013-05-16,70.03,70.41,69.99,70.0,1500.0,64.42
2013-05-15,69.96,70.0,69.92,70.0,1100.0,64.42
2013-05-14,69.36,69.79,69.36,69.65,1200.0,64.1
2013-05-13,69.76,69.81,69.54,69.79,1000.0,64.23
2013-05-10,68.25,69.4,68.25,69.4,1600.0,63.87
2013-05-09,68.24,68.24,68.24,68.24,0.0,62.8
2013-05-08,68.0,68.6,67.43,68.24,1300.0,62.8
2013-05-07,67.9,68.26,67.9,68.26,1500.0,62.82
2013-05-06,67.82,67.9,67.82,67.9,700.0,62.49
2013-05-03,67.28,67.28,67.28,67.28,200.0,61.92
2013-05-02,67.21,67.22,67.2,67.2,8300.0,61.85
2013-05-01,67.0,67.55,67.0,67.2,2500.0,61.85
2013-04-30,66.6,67.05,66.6,67.05,700.0,61.71
2013-04-29,66.51,66.51,66.51,66.51,0.0,61.21
2013-04-26,66.51,66.51,66.51,66.51,0.0,61.21
2013-04-25,66.51,66.51,66.51,66.51,200.0,61.21
2013-04-24,66.5,66.5,66.5,66.5,200.0,61.2
2013-04-23,66.58,66.65,66.58,66.65,900.0,61.34
2013-04-22,66.0,66.46,65.98,66.46,1300.0,61.16
2013-04-19,65.99,65.99,65.99,65.99,300.0,60.73
2013-04-18,65.49,65.49,65.49,65.49,0.0,60.27
2013-04-17,64.9,65.49,64.9,65.49,600.0,60.27
2013-04-16,64.8,64.92,64.8,64.92,400.0,59.75
2013-04-15,64.8,64.8,64.8,64.8,500.0,59.64
2013-04-12,65.0,65.0,64.79,64.8,1500.0,59.64
2013-04-11,65.0,65.0,65.0,65.0,100.0,59.82
2013-04-10,65.1,65.1,65.05,65.05,400.0,59.87
2013-04-09,65.0,65.1,65.0,65.1,1200.0,59.91
2013-04-08,64.62,64.62,64.62,64.62,0.0,59.47
2013-04-05,64.6,64.62,64.6,64.62,400.0,59.47
2013-04-04,64.65,64.65,64.65,64.65,500.0,59.5
2013-04-03,65.01,65.01,64.95,64.95,200.0,59.78
2013-04-02,64.89,64.89,64.89,64.89,200.0,59.72
2013-04-01,65.02,65.02,65.02,65.02,0.0,59.84
2013-03-28,65.02,65.02,65.02,65.02,0.0,59.84
2013-03-27,65.02,65.02,65.02,65.02,0.0,59.84
2013-03-26,65.41,65.42,65.02,65.02,300.0,59.84
2013-03-25,65.14,65.22,65.14,65.22,1400.0,60.02
2013-03-22,65.14,65.14,65.14,65.14,0.0,59.95
2013-03-21,65.14,65.14,65.14,65.14,200.0,59.95
2013-03-20,65.01,65.01,65.01,65.01,0.0,59.83
2013-03-19,65.01,65.01,65.01,65.01,0.0,59.83
2013-03-18,65.45,65.45,65.0,65.01,800.0,59.83
2013-03-15,65.0,65.45,65.0,65.45,900.0,60.24
2013-03-14,64.59,64.59,64.59,64.59,0.0,59.44
2013-03-13,64.2,64.66,64.05,64.59,1600.0,59.44
